,price_classification,actual_price,discounted_price,rating_classification,category0,category1,percent
211,more than 500,599.0,235.0,Fair,Electronics,"HomeTheater,TV&Video",-0.6076794657762938
212,more than 500,800.0,299.0,Good,Computers&Accessories,Accessories&Peripherals,-0.62625
213,more than 500,1999.0,799.0,Good,Computers&Accessories,Accessories&Peripherals,-0.6003001500750376
214,more than 500,999.0,299.0,Fair,Electronics,"HomeTheater,TV&Video",-0.7007007007007007
215,more than 500,16990.0,6999.0,Fair,Electronics,"HomeTheater,TV&Video",-0.5880517951736316
216,more than 500,59999.0,42999.0,Good,Electronics,"HomeTheater,TV&Video",-0.28333805563426057
217,more than 500,999.0,173.0,Good,Electronics,"HomeTheater,TV&Video",-0.8268268268268268
218,more than 500,600.0,209.0,Good,Electronics,HomeAudio,-0.6516666666666666
219,more than 500,1490.0,848.99,Fair,Computers&Accessories,Accessories&Peripherals,-0.4302080536912752
220,more than 500,1999.0,649.0,Good,Computers&Accessories,Accessories&Peripherals,-0.6753376688344173
221,more than 500,899.0,299.0,Fair,Electronics,"HomeTheater,TV&Video",-0.6674082313681868
222,more than 500,799.0,399.0,Good,Electronics,"HomeTheater,TV&Video",-0.5006257822277848
223,between 50 and 500,499.0,249.0,Good,Computers&Accessories,Accessories&Peripherals,-0.501002004008016
224,more than 500,2299.0,1249.0,Good,Electronics,"HomeTheater,TV&Video",-0.45672031317964334
225,between 50 and 500,499.0,213.0,Fair,Electronics,"HomeTheater,TV&Video",-0.5731462925851704
226,between 50 and 500,499.0,209.0,Fair,Electronics,"HomeTheater,TV&Video",-0.5811623246492986
227,more than 500,4999.0,598.0,Good,Electronics,"HomeTheater,TV&Video",-0.880376075215043
228,more than 500,1749.0,799.0,Good,Computers&Accessories,Accessories&Peripherals,-0.5431675242995998
229,more than 500,595.0,159.0,Good,Computers&Accessories,Accessories&Peripherals,-0.7327731092436974
230,more than 500,1100.0,499.0,Good,Computers&Accessories,Accessories&Peripherals,-0.5463636363636364
231,more than 500,49999.0,31999.0,Good,Electronics,"HomeTheater,TV&Video",-0.3600072001440029
232,more than 500,56790.0,32990.0,Good,Electronics,"HomeTheater,TV&Video",-0.4190878675823208
233,more than 500,1199.0,299.0,Fair,Electronics,"HomeTheater,TV&Video",-0.7506255212677231
234,more than 500,549.0,128.31,Fair,Computers&Accessories,Accessories&Peripherals,-0.7662841530054645
235,more than 500,849.0,599.0,Good,Computers&Accessories,Accessories&Peripherals,-0.2944640753828033
236,more than 500,899.0,399.0,Fair,Electronics,"HomeTheater,TV&Video",-0.5561735261401557
237,more than 500,1099.0,449.0,Fair,Computers&Accessories,Accessories&Peripherals,-0.5914467697907189
238,more than 500,799.0,254.0,Fair,Computers&Accessories,Accessories&Peripherals,-0.6821026282853567
239,more than 500,795.0,399.0,Good,Electronics,"HomeTheater,TV&Video",-0.4981132075471698
240,between 50 and 500,399.0,179.0,Fair,Computers&Accessories,Accessories&Peripherals,-0.5513784461152882
241,more than 500,999.0,339.0,Good,Computers&Accessories,Accessories&Peripherals,-0.6606606606606606
242,more than 500,999.0,399.0,Fair,Electronics,"HomeTheater,TV&Video",-0.6006006006006006
243,between 50 and 500,399.0,199.0,Good,Electronics,"HomeTheater,TV&Video",-0.5012531328320802
244,more than 500,1999.0,349.0,Fair,Electronics,"HomeTheater,TV&Video",-0.8254127063531765
245,more than 500,798.0,299.0,Good,Computers&Accessories,Accessories&Peripherals,-0.62531328320802
246,more than 500,800.0,89.0,Fair,Computers&Accessories,Accessories&Peripherals,-0.88875
247,more than 500,995.0,549.0,Good,Computers&Accessories,Accessories&Peripherals,-0.4482412060301508
248,more than 500,1000.0,129.0,Fair,Computers&Accessories,Accessories&Peripherals,-0.871
249,more than 500,139900.0,77990.0,Excellent,Electronics,"HomeTheater,TV&Video",-0.44253037884203
250,more than 500,799.0,349.0,Fair,Electronics,"HomeTheater,TV&Video",-0.5632040050062578
251,more than 500,899.0,499.0,Fair,Electronics,"HomeTheater,TV&Video",-0.44493882091212456
252,more than 500,799.0,299.0,Good,Computers&Accessories,Accessories&Peripherals,-0.6257822277847309
253,more than 500,599.0,182.0,Fair,Computers&Accessories,Accessories&Peripherals,-0.6961602671118531
254,between 50 and 500,399.0,96.0,Fair,Electronics,"HomeTheater,TV&Video",-0.7593984962406015
255,more than 500,85000.0,54990.0,Good,Electronics,"HomeTheater,TV&Video",-0.35305882352941176
256,more than 500,758.0,439.0,Good,Electronics,"HomeTheater,TV&Video",-0.420844327176781
257,more than 500,999.0,299.0,Good,Computers&Accessories,Accessories&Peripherals,-0.7007007007007007
258,more than 500,799.0,299.0,Good,Computers&Accessories,Accessories&Peripherals,-0.6257822277847309
259,more than 500,1999.0,789.0,Good,Computers&Accessories,Accessories&Peripherals,-0.6053026513256629
260,more than 500,700.0,299.0,Good,Electronics,"HomeTheater,TV&Video",-0.5728571428571428
261,more than 500,1099.0,325.0,Good,Computers&Accessories,Accessories&Peripherals,-0.7042766151046406
262,more than 500,1999.0,1299.0,Good,Computers&Accessories,Accessories&Peripherals,-0.3501750875437719
263,more than 500,1999.0,790.0,Poor,Electronics,"HomeTheater,TV&Video",-0.6048024012006002
264,more than 500,4699.0,4699.0,Good,Electronics,HomeAudio,0.0
265,more than 500,24990.0,18999.0,Good,Electronics,"HomeTheater,TV&Video",-0.2397358943577431
266,more than 500,999.0,199.0,Good,Computers&Accessories,Accessories&Peripherals,-0.8008008008008008
267,more than 500,650.0,269.0,Good,Electronics,"HomeTheater,TV&Video",-0.5861538461538461
268,more than 500,3100.0,1990.0,Fair,Electronics,"HomeTheater,TV&Video",-0.3580645161290323
269,more than 500,3999.0,2299.0,Fair,Electronics,HomeAudio,-0.4251062765691423
270,more than 500,49990.0,35999.0,Good,Electronics,"HomeTheater,TV&Video",-0.279875975195039
271,more than 500,999.0,349.0,Good,Electronics,"HomeTheater,TV&Video",-0.6506506506506506
272,more than 500,1499.0,719.0,Good,Computers&Accessories,Accessories&Peripherals,-0.5203468979319547
273,more than 500,18999.0,8999.0,Fair,Electronics,"HomeTheater,TV&Video",-0.5263434917627243
274,more than 500,2299.0,917.0,Good,Electronics,"HomeTheater,TV&Video",-0.6011309264897782
275,more than 500,999.0,399.0,Fair,Electronics,"HomeTheater,TV&Video",-0.6006006006006006
276,more than 500,69900.0,45999.0,Good,Electronics,"HomeTheater,TV&Video",-0.341931330472103
277,between 50 and 500,299.0,119.0,Fair,Computers&Accessories,Accessories&Peripherals,-0.6020066889632107
278,more than 500,29999.0,21999.0,Good,Electronics,"HomeTheater,TV&Video",-0.26667555585186176
279,more than 500,599.0,299.0,Fair,Electronics,"HomeTheater,TV&Video",-0.5008347245409015
280,more than 500,34990.0,21990.0,Good,Electronics,"HomeTheater,TV&Video",-0.37153472420691624
281,more than 500,670.0,417.44,Fair,Computers&Accessories,Accessories&Peripherals,-0.37695522388059705
282,more than 500,999.0,199.0,Poor,Computers&Accessories,Accessories&Peripherals,-0.8008008008008008
283,more than 500,79990.0,47990.0,Good,Electronics,"HomeTheater,TV&Video",-0.40005000625078135
284,between 50 and 500,499.0,215.0,Fair,Electronics,"HomeTheater,TV&Video",-0.5691382765531062
